FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
07/05/2016 00:00:00,640794,343,0,136,207,0,0
07/05/2016 01:00:00,381431,239,0,97,142,0,0
07/05/2016 02:00:00,234235,104,0,43,61,0,0
07/05/2016 03:00:00,158138,57,0,22,35,0,0
07/05/2016 04:00:00,133168,47,0,20,27,0,0
07/05/2016 05:00:00,167548,67,0,26,41,0,0
07/05/2016 06:00:00,212039,66,0,26,40,0,0
07/05/2016 07:00:00,348450,106,0,42,64,0,0
07/05/2016 08:00:00,818875,1756,0,704,1052,0,0
07/05/2016 09:00:00,1667620,54240,0,21697,32543,0,0
07/05/2016 10:00:00,2479991,75314,0,30129,45185,0,0
07/05/2016 11:00:00,3061633,85501,0,34199,51302,0,0
07/05/2016 12:00:00,3162001,83274,0,33310,49964,0,0
07/05/2016 13:00:00,2533762,59436,0,29633,29803,0,0
07/05/2016 14:00:00,1866096,41555,0,20679,20876,0,0
07/05/2016 15:00:00,1602774,27002,0,10798,16204,0,0
07/05/2016 16:00:00,1732834,28689,0,11477,17212,0,0
07/05/2016 17:00:00,2123920,24529,0,12203,12326,0,0
07/05/2016 18:00:00,2629333,22316,0,8927,13389,0,0
07/05/2016 19:00:00,2763584,18464,0,7383,11081,0,0
07/05/2016 20:00:00,2493334,17766,0,7108,10658,0,0
07/05/2016 21:00:00,1994273,576,0,230,346,0,0
07/05/2016 22:00:00,1402460,457,0,183,274,0,0
07/05/2016 23:00:00,970149,439,0,176,263,0,0
