FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
01/05/2016 00:00:00,705702,259,0,104,155,0,0
01/05/2016 01:00:00,460692,116,0,46,70,0,0
01/05/2016 02:00:00,309578,93,0,36,57,0,0
01/05/2016 03:00:00,220887,85,0,35,50,0,0
01/05/2016 04:00:00,191909,64,0,25,39,0,0
01/05/2016 05:00:00,227125,58,0,24,34,0,0
01/05/2016 06:00:00,254961,66,0,26,40,0,0
01/05/2016 07:00:00,247192,116,0,46,70,0,0
01/05/2016 08:00:00,409985,425,0,171,254,0,0
01/05/2016 09:00:00,813997,638,0,256,382,0,0
01/05/2016 10:00:00,1447743,887,0,356,531,0,0
01/05/2016 11:00:00,2084932,799,0,318,481,0,0
01/05/2016 12:00:00,2248026,800,0,318,482,0,0
01/05/2016 13:00:00,1709750,804,0,359,445,0,0
01/05/2016 14:00:00,1224325,701,0,306,395,0,0
01/05/2016 15:00:00,1122337,852,0,342,510,0,0
01/05/2016 16:00:00,1178790,896,0,359,537,0,0
01/05/2016 17:00:00,1370107,1165,0,533,632,0,0
01/05/2016 18:00:00,1745821,1040,0,417,623,0,0
01/05/2016 19:00:00,1943839,1153,0,460,693,0,0
01/05/2016 20:00:00,1783270,653,0,259,394,0,0
01/05/2016 21:00:00,1454339,502,0,201,301,0,0
01/05/2016 22:00:00,1050141,415,0,167,248,0,0
01/05/2016 23:00:00,638501,359,0,143,216,0,0
