FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
17/05/2016 00:00:00,357194,155,0,62,93,0,0
17/05/2016 01:00:00,163459,104,0,41,63,0,0
17/05/2016 02:00:00,70521,47,0,19,28,0,0
17/05/2016 03:00:00,42794,52,0,21,31,0,0
17/05/2016 04:00:00,43812,35,0,14,21,0,0
17/05/2016 05:00:00,80533,51,0,21,30,0,0
17/05/2016 06:00:00,229089,105,0,42,63,0,0
17/05/2016 07:00:00,631823,232,0,92,140,0,0
17/05/2016 08:00:00,1398033,21507,0,8599,12908,0,0
17/05/2016 09:00:00,2438511,129495,0,51804,77691,0,0
17/05/2016 10:00:00,3138549,171194,0,68476,102718,0,0
17/05/2016 11:00:00,3507803,155680,0,62267,93413,0,0
17/05/2016 12:00:00,3443674,148075,0,59234,88841,0,0
17/05/2016 13:00:00,2798122,162947,0,81323,81624,0,0
17/05/2016 14:00:00,2127241,135859,0,67815,68044,0,0
17/05/2016 15:00:00,1993315,124310,0,49724,74586,0,0
17/05/2016 16:00:00,2401955,136144,0,54460,81684,0,0
17/05/2016 17:00:00,2984771,146550,0,73171,73379,0,0
17/05/2016 18:00:00,3308853,134897,0,53957,80940,0,0
17/05/2016 19:00:00,3112630,127025,0,50807,76218,0,0
17/05/2016 20:00:00,2687063,140270,0,56110,84160,0,0
17/05/2016 21:00:00,1826100,674,0,270,404,0,0
17/05/2016 22:00:00,1208371,536,0,212,324,0,0
17/05/2016 23:00:00,708261,335,0,135,200,0,0
