FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
04/06/2016 00:00:00,620254,581,0,234,347,0,0
04/06/2016 01:00:00,354630,344,0,136,208,0,0
04/06/2016 02:00:00,217454,195,0,78,117,0,0
04/06/2016 03:00:00,147517,184,0,74,110,0,0
04/06/2016 04:00:00,125902,190,0,76,114,0,0
04/06/2016 05:00:00,156081,139,0,56,83,0,0
04/06/2016 06:00:00,198944,182,0,73,109,0,0
04/06/2016 07:00:00,304068,264,0,105,159,0,0
04/06/2016 08:00:00,678972,1568,0,628,940,0,0
04/06/2016 09:00:00,1447971,59513,0,23806,35707,0,0
04/06/2016 10:00:00,2269185,104455,0,41783,62672,0,0
04/06/2016 11:00:00,2850109,94804,0,37924,56880,0,0
04/06/2016 12:00:00,2966364,80465,0,32185,48280,0,0
04/06/2016 13:00:00,2343494,49878,0,24820,25058,0,0
04/06/2016 14:00:00,1693664,25857,0,12775,13082,0,0
04/06/2016 15:00:00,1413319,18181,0,7273,10908,0,0
04/06/2016 16:00:00,1540943,22763,0,9106,13657,0,0
04/06/2016 17:00:00,1961192,18713,0,9240,9473,0,0
04/06/2016 18:00:00,2473329,19504,0,7803,11701,0,0
04/06/2016 19:00:00,2551981,13524,0,5408,8116,0,0
04/06/2016 20:00:00,2317281,17438,0,6975,10463,0,0
04/06/2016 21:00:00,1864422,1330,0,532,798,0,0
04/06/2016 22:00:00,1322466,1001,0,400,601,0,0
04/06/2016 23:00:00,903762,562,0,226,336,0,0
