FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
14/05/2016 00:00:00,13356,0,0,0,0,0,0
14/05/2016 01:00:00,7477,0,0,0,0,0,0
14/05/2016 02:00:00,4835,0,0,0,0,0,0
14/05/2016 03:00:00,3034,0,0,0,0,0,0
14/05/2016 04:00:00,2718,0,0,0,0,0,0
14/05/2016 05:00:00,3623,0,0,0,0,0,0
14/05/2016 06:00:00,5188,0,0,0,0,0,0
14/05/2016 07:00:00,8721,0,0,0,0,0,0
14/05/2016 08:00:00,17043,0,0,0,0,0,0
14/05/2016 09:00:00,32257,0,0,0,0,0,0
14/05/2016 10:00:00,47406,0,0,0,0,0,0
14/05/2016 11:00:00,57131,0,0,0,0,0,0
14/05/2016 12:00:00,61447,0,0,0,0,0,0
14/05/2016 13:00:00,56245,0,0,0,0,0,0
14/05/2016 14:00:00,50276,0,0,0,0,0,0
14/05/2016 15:00:00,46910,0,0,0,0,0,0
14/05/2016 16:00:00,46054,0,0,0,0,0,0
14/05/2016 17:00:00,47341,0,0,0,0,0,0
14/05/2016 18:00:00,54751,0,0,0,0,0,0
14/05/2016 19:00:00,49389,0,0,0,0,0,0
14/05/2016 20:00:00,44501,0,0,0,0,0,0
14/05/2016 21:00:00,36693,0,0,0,0,0,0
14/05/2016 22:00:00,29751,0,0,0,0,0,0
14/05/2016 23:00:00,21840,0,0,0,0,0,0
