FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
21/04/2016 00:00:00,367640,248,0,100,148,0,0
21/04/2016 01:00:00,132615,95,0,39,56,0,0
21/04/2016 02:00:00,77139,90,0,36,54,0,0
21/04/2016 03:00:00,41097,45,0,18,27,0,0
21/04/2016 04:00:00,48274,42,0,18,24,0,0
21/04/2016 05:00:00,71786,44,0,15,29,0,0
21/04/2016 06:00:00,142541,66,0,27,39,0,0
21/04/2016 07:00:00,657711,213,0,86,127,0,0
21/04/2016 08:00:00,1478073,18430,0,5568,12862,0,0
21/04/2016 09:00:00,2517830,107449,0,32290,75159,0,0
21/04/2016 10:00:00,3158461,100793,0,30318,70475,0,0
21/04/2016 11:00:00,3480378,113680,0,34179,79501,0,0
21/04/2016 12:00:00,3453699,108131,0,32520,75611,0,0
21/04/2016 13:00:00,2823002,112826,0,33932,78894,0,0
21/04/2016 14:00:00,2154512,96613,0,29063,67550,0,0
21/04/2016 15:00:00,1999844,84260,0,25338,58922,0,0
21/04/2016 16:00:00,2424244,89922,0,27048,62874,0,0
21/04/2016 17:00:00,2976352,97907,0,29441,68466,0,0
21/04/2016 18:00:00,3298664,89876,0,27039,62837,0,0
21/04/2016 19:00:00,3376723,82984,0,24957,58027,0,0
21/04/2016 20:00:00,2907168,81748,0,24586,57162,0,0
21/04/2016 21:00:00,2080031,544,0,217,327,0,0
21/04/2016 22:00:00,1385775,522,0,209,313,0,0
21/04/2016 23:00:00,828468,439,0,176,263,0,0
