FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
27/04/2016 00:00:00,332806,196,0,79,117,0,0
27/04/2016 01:00:00,133608,102,0,41,61,0,0
27/04/2016 02:00:00,62522,27,0,10,17,0,0
27/04/2016 03:00:00,40520,64,0,26,38,0,0
27/04/2016 04:00:00,42463,36,0,15,21,0,0
27/04/2016 05:00:00,79131,125,0,49,76,0,0
27/04/2016 06:00:00,226641,122,0,49,73,0,0
27/04/2016 07:00:00,636563,135,0,54,81,0,0
27/04/2016 08:00:00,1361346,18207,0,5487,12720,0,0
27/04/2016 09:00:00,2401431,117079,0,35169,81910,0,0
27/04/2016 10:00:00,3059440,119006,0,35803,83201,2,0
27/04/2016 11:00:00,3480136,139642,0,42002,97640,0,0
27/04/2016 12:00:00,3451619,128951,0,38786,90165,0,0
27/04/2016 13:00:00,2783591,120972,0,36363,84609,0,0
27/04/2016 14:00:00,2138498,112581,0,33855,78726,0,0
27/04/2016 15:00:00,1999670,93856,0,28236,65620,0,0
27/04/2016 16:00:00,2380147,110696,0,33274,77422,0,0
27/04/2016 17:00:00,2915436,109285,0,32848,76437,0,0
27/04/2016 18:00:00,3230709,106033,0,31876,74157,0,0
27/04/2016 19:00:00,3189633,106463,0,32014,74449,0,0
27/04/2016 20:00:00,2714179,97546,0,29329,68217,0,0
27/04/2016 21:00:00,1849038,596,0,238,358,0,0
27/04/2016 22:00:00,1214594,459,0,185,274,0,0
27/04/2016 23:00:00,689333,327,0,130,197,0,0
