FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
27/05/2016 00:00:00,365991,444,0,178,266,0,0
27/05/2016 01:00:00,156790,300,0,120,180,0,0
27/05/2016 02:00:00,75056,165,0,67,98,0,0
27/05/2016 03:00:00,48579,159,0,63,96,0,0
27/05/2016 04:00:00,49777,168,0,66,102,0,0
27/05/2016 05:00:00,86736,154,0,63,91,0,0
27/05/2016 06:00:00,231230,182,0,72,110,0,0
27/05/2016 07:00:00,622796,531,0,213,318,0,0
27/05/2016 08:00:00,1380965,22589,0,9038,13551,0,0
27/05/2016 09:00:00,2500828,149280,0,59714,89566,0,0
27/05/2016 10:00:00,3160682,136087,0,54432,81655,0,0
27/05/2016 11:00:00,3604765,145316,0,58126,87190,0,0
27/05/2016 12:00:00,3563053,132938,0,53178,79760,0,0
27/05/2016 13:00:00,2914426,183328,0,91398,91930,0,0
27/05/2016 14:00:00,2243601,159916,0,79766,80150,0,0
27/05/2016 15:00:00,2095506,143473,0,57390,86083,0,0
27/05/2016 16:00:00,2490537,139165,0,55665,83500,0,0
27/05/2016 17:00:00,3115350,157023,0,78315,78708,0,0
27/05/2016 18:00:00,3466542,140749,0,56301,84448,0,0
27/05/2016 19:00:00,3320203,134472,0,53789,80683,0,0
27/05/2016 20:00:00,2851152,130484,0,52191,78293,0,0
27/05/2016 21:00:00,2016017,1609,0,644,965,0,0
27/05/2016 22:00:00,1366100,1100,0,440,660,0,0
27/05/2016 23:00:00,870805,778,0,311,467,0,0
