FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
19/04/2016 00:00:00,380311,367,0,147,220,0,0
19/04/2016 01:00:00,150096,212,0,86,126,0,0
19/04/2016 02:00:00,70814,99,0,40,59,0,0
19/04/2016 03:00:00,42906,110,0,44,66,0,0
19/04/2016 04:00:00,47043,87,0,35,52,0,0
19/04/2016 05:00:00,83599,141,0,56,85,0,0
19/04/2016 06:00:00,235222,108,0,43,65,0,0
19/04/2016 07:00:00,681522,222,0,89,133,0,0
19/04/2016 08:00:00,1380124,14380,0,4362,10018,0,0
19/04/2016 09:00:00,2352991,66199,0,19952,46247,0,0
19/04/2016 10:00:00,3023706,95814,0,28845,66969,0,0
19/04/2016 11:00:00,3395179,99424,0,29923,69501,0,0
19/04/2016 12:00:00,3319648,89934,0,27062,62872,0,0
19/04/2016 13:00:00,2636759,89128,0,26826,62302,0,0
19/04/2016 14:00:00,2005143,82573,0,24875,57698,0,0
19/04/2016 15:00:00,1892418,78983,0,23808,55175,0,0
19/04/2016 16:00:00,2279512,83573,0,25177,58396,0,0
19/04/2016 17:00:00,2820302,79256,0,23883,55373,0,0
19/04/2016 18:00:00,3053302,58196,0,17575,40621,0,0
19/04/2016 19:00:00,3168786,63797,0,19237,44560,0,0
19/04/2016 20:00:00,2789485,66732,0,20124,46608,0,0
19/04/2016 21:00:00,1950849,890,0,356,534,0,0
19/04/2016 22:00:00,1317254,836,0,334,502,0,0
19/04/2016 23:00:00,787908,553,0,221,332,0,0
