FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
08/05/2016 00:00:00,717003,310,0,124,186,0,0
08/05/2016 01:00:00,486771,182,0,73,109,0,0
08/05/2016 02:00:00,326802,154,0,60,94,0,0
08/05/2016 03:00:00,230167,121,0,49,72,0,0
08/05/2016 04:00:00,194898,83,0,34,49,0,0
08/05/2016 05:00:00,235219,63,0,25,38,0,0
08/05/2016 06:00:00,265047,98,0,39,59,0,0
08/05/2016 07:00:00,249044,131,0,53,78,0,0
08/05/2016 08:00:00,391410,485,0,192,293,0,0
08/05/2016 09:00:00,738390,706,0,284,422,0,0
08/05/2016 10:00:00,1282750,739,0,294,445,0,0
08/05/2016 11:00:00,1853595,852,0,342,510,0,0
08/05/2016 12:00:00,2029104,926,0,368,558,0,0
08/05/2016 13:00:00,1624550,993,0,430,563,0,0
08/05/2016 14:00:00,1232637,1617,0,743,874,0,0
08/05/2016 15:00:00,1138345,1582,0,636,946,0,0
08/05/2016 16:00:00,1198123,1760,0,702,1058,0,0
08/05/2016 17:00:00,1416335,1599,0,731,868,0,0
08/05/2016 18:00:00,1783680,1541,0,614,927,0,0
08/05/2016 19:00:00,1895794,2011,0,807,1204,0,0
08/05/2016 20:00:00,1780995,1724,0,688,1036,0,0
08/05/2016 21:00:00,1490585,675,0,270,405,0,0
08/05/2016 22:00:00,1056952,636,0,253,383,0,0
08/05/2016 23:00:00,659343,417,0,167,250,0,0
