FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
15/03/2016 00:00:00,81562,0,0,0,0,0,0
15/03/2016 01:00:00,35551,0,0,0,0,0,0
15/03/2016 02:00:00,18029,0,0,0,0,0,0
15/03/2016 03:00:00,11187,0,0,0,0,0,0
15/03/2016 04:00:00,11177,0,0,0,0,0,0
15/03/2016 05:00:00,18349,0,0,0,0,0,0
15/03/2016 06:00:00,48224,0,0,0,0,0,0
15/03/2016 07:00:00,174879,0,0,0,0,0,0
15/03/2016 08:00:00,477766,5533,0,1106,4427,0,0
15/03/2016 09:00:00,933577,41317,0,9064,32253,0,0
15/03/2016 10:00:00,1111752,18646,0,3839,14807,0,0
15/03/2016 11:00:00,1211124,42771,0,9113,33658,0,0
15/03/2016 12:00:00,1124867,63961,0,14781,49180,0,0
15/03/2016 13:00:00,900123,56586,0,16974,39612,0,0
15/03/2016 14:00:00,716805,55527,0,16660,38867,0,0
15/03/2016 15:00:00,701376,54118,0,12705,41413,0,0
15/03/2016 16:00:00,842100,64916,0,15837,49079,0,0
15/03/2016 17:00:00,977553,74741,0,22421,52320,0,0
15/03/2016 18:00:00,997140,45159,0,9794,35365,0,0
15/03/2016 19:00:00,995656,47230,0,10070,37160,0,0
15/03/2016 20:00:00,912604,48880,0,10576,38304,0,0
15/03/2016 21:00:00,542873,0,0,0,0,0,0
15/03/2016 22:00:00,328570,0,0,0,0,0,0
15/03/2016 23:00:00,184806,0,0,0,0,0,0
