FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
23/04/2016 00:00:00,658910,330,0,132,198,0,0
23/04/2016 01:00:00,386540,205,0,82,123,0,0
23/04/2016 02:00:00,237534,148,0,58,90,0,0
23/04/2016 03:00:00,159272,106,0,43,63,0,0
23/04/2016 04:00:00,135490,178,0,73,105,0,0
23/04/2016 05:00:00,167677,86,0,34,52,0,0
23/04/2016 06:00:00,214797,1,0,0,1,0,0
23/04/2016 07:00:00,368214,0,0,0,0,0,0
23/04/2016 08:00:00,863051,2884,0,866,2018,0,0
23/04/2016 09:00:00,1725732,56794,0,17038,39756,0,0
23/04/2016 10:00:00,2501009,91616,0,27493,64123,0,0
23/04/2016 11:00:00,3017087,88984,0,26743,62241,0,0
23/04/2016 12:00:00,3078630,85386,0,25666,59720,0,0
23/04/2016 13:00:00,2437182,67096,0,20196,46900,0,0
23/04/2016 14:00:00,1784826,40640,0,12245,28395,0,0
23/04/2016 15:00:00,1520550,30624,0,9247,21377,0,0
23/04/2016 16:00:00,1656110,30529,0,9216,21313,0,0
23/04/2016 17:00:00,2018644,32168,0,9697,22471,0,0
23/04/2016 18:00:00,2556439,23133,0,6990,16143,0,0
23/04/2016 19:00:00,2877363,19581,0,5921,13660,0,0
23/04/2016 20:00:00,2583168,13660,0,4141,9519,0,0
23/04/2016 21:00:00,2056256,577,0,232,345,0,0
23/04/2016 22:00:00,1452212,480,0,192,288,0,0
23/04/2016 23:00:00,999791,450,0,181,269,0,0
