FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
28/05/2016 00:00:00,573263,450,0,180,270,0,0
28/05/2016 01:00:00,329437,379,0,152,227,0,0
28/05/2016 02:00:00,200173,243,0,97,146,0,0
28/05/2016 03:00:00,132977,372,0,149,223,0,0
28/05/2016 04:00:00,112961,411,0,165,246,0,0
28/05/2016 05:00:00,138927,153,0,60,93,0,0
28/05/2016 06:00:00,180221,150,0,60,90,0,0
28/05/2016 07:00:00,292349,470,0,189,281,0,0
28/05/2016 08:00:00,707792,2495,0,997,1498,0,0
28/05/2016 09:00:00,1531231,67000,0,26799,40201,0,0
28/05/2016 10:00:00,2315404,93447,0,37382,56065,0,0
28/05/2016 11:00:00,2850692,93950,0,37579,56371,0,0
28/05/2016 12:00:00,2957641,110398,0,44159,66239,0,0
28/05/2016 13:00:00,2350359,80993,0,40272,40721,0,0
28/05/2016 14:00:00,1720028,37136,0,18373,18763,0,0
28/05/2016 15:00:00,1468920,27458,0,10984,16474,0,0
28/05/2016 16:00:00,1501493,28904,0,11559,17345,0,0
28/05/2016 17:00:00,1798574,29733,0,14723,15010,0,0
28/05/2016 18:00:00,2321228,32159,0,12863,19296,0,0
28/05/2016 19:00:00,2557226,24301,0,9719,14582,0,0
28/05/2016 20:00:00,2272660,32487,0,12997,19490,0,0
28/05/2016 21:00:00,1799182,969,0,389,580,0,0
28/05/2016 22:00:00,1273618,782,0,311,471,0,0
28/05/2016 23:00:00,877502,603,0,243,360,0,0
