FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
06/06/2016 00:00:00,334416,469,0,188,281,0,0
06/06/2016 01:00:00,152374,346,0,137,209,0,0
06/06/2016 02:00:00,76271,105,0,43,62,0,0
06/06/2016 03:00:00,47962,133,0,53,80,0,0
06/06/2016 04:00:00,49516,100,0,40,60,0,0
06/06/2016 05:00:00,89434,137,0,56,81,0,0
06/06/2016 06:00:00,237956,178,0,73,105,0,0
06/06/2016 07:00:00,625573,293,0,116,177,0,0
06/06/2016 08:00:00,1319393,20094,0,8036,12058,0,0
06/06/2016 09:00:00,2391018,103241,0,41298,61943,0,0
06/06/2016 10:00:00,3041978,100760,0,40306,60454,0,0
06/06/2016 11:00:00,3471461,105382,0,42149,63233,0,0
06/06/2016 12:00:00,3466778,98313,0,39325,58988,0,0
06/06/2016 13:00:00,2841369,115413,0,57547,57866,0,0
06/06/2016 14:00:00,2196556,114101,0,56884,57217,0,0
06/06/2016 15:00:00,2044789,89146,0,35717,53429,0,0
06/06/2016 16:00:00,2446882,92092,0,36945,55147,0,0
06/06/2016 17:00:00,3039331,129595,0,64649,64946,0,0
06/06/2016 18:00:00,3365841,108762,0,43503,65259,0,0
06/06/2016 19:00:00,3191771,118371,0,47351,71020,0,0
06/06/2016 20:00:00,2708641,126631,0,50653,75978,0,0
06/06/2016 21:00:00,1854342,1067,0,426,641,0,0
06/06/2016 22:00:00,1254260,779,0,312,467,0,0
06/06/2016 23:00:00,620743,533,0,212,321,0,0
