FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
03/03/2016 00:00:00,67088,0,0,0,0,0,0
03/03/2016 01:00:00,28262,0,0,0,0,0,0
03/03/2016 02:00:00,11688,0,0,0,0,0,0
03/03/2016 03:00:00,4881,0,0,0,0,0,0
03/03/2016 04:00:00,11419,0,0,0,0,0,0
03/03/2016 05:00:00,14367,0,0,0,0,0,0
03/03/2016 06:00:00,24543,0,0,0,0,0,0
03/03/2016 07:00:00,48596,0,0,0,0,0,0
03/03/2016 08:00:00,314435,8047,0,1609,6438,0,0
03/03/2016 09:00:00,642388,39684,0,9045,30639,0,0
03/03/2016 10:00:00,792576,29950,0,7168,22782,0,0
03/03/2016 11:00:00,866235,30318,0,6965,23353,0,0
03/03/2016 12:00:00,816131,29939,0,7013,22926,0,0
03/03/2016 13:00:00,674776,35055,0,10516,24539,0,0
03/03/2016 14:00:00,536691,27978,0,8394,19584,0,0
03/03/2016 15:00:00,524191,16487,0,3532,12955,0,0
03/03/2016 16:00:00,611966,34095,0,8470,25625,0,0
03/03/2016 17:00:00,693409,34137,0,10242,23895,0,0
03/03/2016 18:00:00,723347,24776,0,5931,18845,0,0
03/03/2016 19:00:00,698203,27919,0,6869,21050,0,0
03/03/2016 20:00:00,608889,26155,0,6485,19670,0,0
03/03/2016 21:00:00,404417,0,0,0,0,0,0
03/03/2016 22:00:00,157474,0,0,0,0,0,0
03/03/2016 23:00:00,145236,0,0,0,0,0,0
