FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
23/05/2016 00:00:00,334487,377,0,150,227,0,0
23/05/2016 01:00:00,148368,219,0,87,132,0,0
23/05/2016 02:00:00,72531,110,0,45,65,0,0
23/05/2016 03:00:00,47533,128,0,51,77,0,0
23/05/2016 04:00:00,49599,100,0,40,60,0,0
23/05/2016 05:00:00,89129,97,0,39,58,0,0
23/05/2016 06:00:00,235673,196,0,77,119,0,0
23/05/2016 07:00:00,646702,372,0,150,222,0,0
23/05/2016 08:00:00,1404143,19228,0,7695,11533,0,0
23/05/2016 09:00:00,2469886,155844,0,62336,93508,0,0
23/05/2016 10:00:00,3116370,156774,0,62708,94066,0,0
23/05/2016 11:00:00,3523171,161217,0,64489,96728,0,0
23/05/2016 12:00:00,3519718,162734,0,65093,97641,0,0
23/05/2016 13:00:00,2880180,169592,0,84520,85072,0,0
23/05/2016 14:00:00,2240093,170451,0,84851,85600,0,0
23/05/2016 15:00:00,2060654,121795,0,48719,73076,0,0
23/05/2016 16:00:00,2492238,133580,0,53427,80153,0,0
23/05/2016 17:00:00,3111341,163953,0,81766,82187,0,0
23/05/2016 18:00:00,3442578,163080,0,65234,97846,0,0
23/05/2016 19:00:00,3254163,146784,0,58712,88072,0,0
23/05/2016 20:00:00,2784918,151587,0,60634,90953,0,0
23/05/2016 21:00:00,1881549,1292,0,517,775,0,0
23/05/2016 22:00:00,1249658,1113,0,445,668,0,0
23/05/2016 23:00:00,706121,714,0,285,429,0,0
