FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
22/04/2016 00:00:00,358268,322,0,129,193,0,0
22/04/2016 01:00:00,180345,124,0,50,74,0,0
22/04/2016 02:00:00,76464,44,0,16,28,0,0
22/04/2016 03:00:00,58157,163,0,64,99,0,0
22/04/2016 04:00:00,51433,99,0,40,59,0,0
22/04/2016 05:00:00,86162,48,0,22,26,0,0
22/04/2016 06:00:00,230438,2,0,1,1,0,0
22/04/2016 07:00:00,701612,0,0,0,0,0,0
22/04/2016 08:00:00,1505574,12889,0,3865,9024,0,0
22/04/2016 09:00:00,2602366,111164,0,33370,77794,0,0
22/04/2016 10:00:00,3245284,119666,0,36023,83643,0,0
22/04/2016 11:00:00,3651419,125692,0,37775,87917,0,0
22/04/2016 12:00:00,3653517,130429,0,39223,91206,0,0
22/04/2016 13:00:00,2961312,130928,0,39355,91573,0,0
22/04/2016 14:00:00,2253843,103571,0,31147,72424,0,0
22/04/2016 15:00:00,2115737,92768,0,27909,64859,0,0
22/04/2016 16:00:00,2544282,100684,0,30285,70399,0,0
22/04/2016 17:00:00,3150434,97722,0,29391,68331,0,0
22/04/2016 18:00:00,3517742,89795,0,27006,62789,0,0
22/04/2016 19:00:00,3639630,99355,0,29874,69481,0,0
22/04/2016 20:00:00,3179149,95529,0,28734,66795,0,0
22/04/2016 21:00:00,2321488,616,0,247,369,0,0
22/04/2016 22:00:00,1570551,588,0,235,353,0,0
22/04/2016 23:00:00,1019397,505,0,202,303,0,0
