FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
05/05/2016 00:00:00,8814,0,0,0,0,0,0
05/05/2016 01:00:00,4481,0,0,0,0,0,0
05/05/2016 02:00:00,2477,0,0,0,0,0,0
05/05/2016 03:00:00,1644,0,0,0,0,0,0
05/05/2016 04:00:00,1579,0,0,0,0,0,0
05/05/2016 05:00:00,2828,0,0,0,0,0,0
05/05/2016 06:00:00,7330,0,0,0,0,0,0
05/05/2016 07:00:00,22252,0,0,0,0,0,0
05/05/2016 08:00:00,43073,0,0,0,0,0,0
05/05/2016 09:00:00,68728,0,0,0,0,0,0
05/05/2016 10:00:00,82415,0,0,0,0,0,0
05/05/2016 11:00:00,86818,0,0,0,0,0,0
05/05/2016 12:00:00,86712,0,0,0,0,0,0
05/05/2016 13:00:00,75880,0,0,0,0,0,0
05/05/2016 14:00:00,68734,0,0,0,0,0,0
05/05/2016 15:00:00,70881,0,0,0,0,0,0
05/05/2016 16:00:00,73620,0,0,0,0,0,0
05/05/2016 17:00:00,78064,0,0,0,0,0,0
05/05/2016 18:00:00,88181,0,0,0,0,0,0
05/05/2016 19:00:00,75597,0,0,0,0,0,0
05/05/2016 20:00:00,58535,0,0,0,0,0,0
05/05/2016 21:00:00,46771,0,0,0,0,0,0
05/05/2016 22:00:00,31478,0,0,0,0,0,0
05/05/2016 23:00:00,18642,0,0,0,0,0,0
