FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
24/03/2016 00:00:00,168879,0,0,0,0,0,0
24/03/2016 01:00:00,99498,0,0,0,0,0,0
24/03/2016 02:00:00,64239,0,0,0,0,0,0
24/03/2016 03:00:00,42638,0,0,0,0,0,0
24/03/2016 04:00:00,40888,0,0,0,0,0,0
24/03/2016 05:00:00,45164,0,0,0,0,0,0
24/03/2016 06:00:00,60865,0,0,0,0,0,0
24/03/2016 07:00:00,128094,0,0,0,0,0,0
24/03/2016 08:00:00,287162,493,0,124,369,0,0
24/03/2016 09:00:00,560747,19101,0,4775,14326,0,0
24/03/2016 10:00:00,817059,22215,0,5554,16661,0,0
24/03/2016 11:00:00,970435,21264,0,5316,15948,0,0
24/03/2016 12:00:00,927103,25148,0,6286,18862,0,0
24/03/2016 13:00:00,707750,13194,0,3958,9236,0,0
24/03/2016 14:00:00,531269,12982,0,3895,9087,0,0
24/03/2016 15:00:00,469272,7668,0,1918,5750,0,0
24/03/2016 16:00:00,532290,8893,0,2223,6670,0,0
24/03/2016 17:00:00,663786,10181,0,3054,7127,0,0
24/03/2016 18:00:00,759970,6860,0,1715,5145,0,0
24/03/2016 19:00:00,890495,7458,0,1864,5594,0,0
24/03/2016 20:00:00,810360,8559,0,2141,6418,0,0
24/03/2016 21:00:00,579036,0,0,0,0,0,0
24/03/2016 22:00:00,389435,0,0,0,0,0,0
24/03/2016 23:00:00,283663,0,0,0,0,0,0
