FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
18/03/2016 00:00:00,100821,0,0,0,0,0,0
18/03/2016 01:00:00,50841,0,0,0,0,0,0
18/03/2016 02:00:00,27432,0,0,0,0,0,0
18/03/2016 03:00:00,20169,0,0,0,0,0,0
18/03/2016 04:00:00,20773,0,0,0,0,0,0
18/03/2016 05:00:00,28802,0,0,0,0,0,0
18/03/2016 06:00:00,68358,0,0,0,0,0,0
18/03/2016 07:00:00,196100,0,0,0,0,0,0
18/03/2016 08:00:00,454015,12309,0,2462,9847,0,0
18/03/2016 09:00:00,902956,63171,0,13363,49808,0,0
18/03/2016 10:00:00,1090683,46361,0,9944,36417,0,0
18/03/2016 11:00:00,1171535,23066,0,4771,18295,0,0
18/03/2016 12:00:00,1109468,30793,0,7080,23713,0,0
18/03/2016 13:00:00,893197,24091,0,7228,16863,0,0
18/03/2016 14:00:00,719073,22890,0,6866,16024,0,0
18/03/2016 15:00:00,707398,29915,0,6856,23059,0,0
18/03/2016 16:00:00,822886,27066,0,6293,20773,0,0
18/03/2016 17:00:00,963438,35882,0,10765,25117,0,0
18/03/2016 18:00:00,1000675,31675,0,7307,24368,0,0
18/03/2016 19:00:00,1007564,37663,0,8391,29272,0,0
18/03/2016 20:00:00,913353,28066,0,5613,22453,0,0
18/03/2016 21:00:00,590062,0,0,0,0,0,0
18/03/2016 22:00:00,361260,0,0,0,0,0,0
18/03/2016 23:00:00,269575,0,0,0,0,0,0
