FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
02/05/2016 00:00:00,1238,0,0,0,0,0,0
02/05/2016 01:00:00,675,0,0,0,0,0,0
02/05/2016 02:00:00,348,0,0,0,0,0,0
02/05/2016 03:00:00,342,0,0,0,0,0,0
02/05/2016 04:00:00,318,0,0,0,0,0,0
02/05/2016 05:00:00,616,0,0,0,0,0,0
02/05/2016 06:00:00,1259,0,0,0,0,0,0
02/05/2016 07:00:00,2831,0,0,0,0,0,0
02/05/2016 08:00:00,5528,0,0,0,0,0,0
02/05/2016 09:00:00,9723,0,0,0,0,0,0
02/05/2016 10:00:00,13267,0,0,0,0,0,0
02/05/2016 11:00:00,14809,0,0,0,0,0,0
02/05/2016 12:00:00,15034,0,0,0,0,0,0
02/05/2016 13:00:00,14013,0,0,0,0,0,0
02/05/2016 14:00:00,13763,0,0,0,0,0,0
02/05/2016 15:00:00,13586,0,0,0,0,0,0
02/05/2016 16:00:00,13695,0,0,0,0,0,0
02/05/2016 17:00:00,14187,0,0,0,0,0,0
02/05/2016 18:00:00,13894,0,0,0,0,0,0
02/05/2016 19:00:00,12303,0,0,0,0,0,0
02/05/2016 20:00:00,9512,0,0,0,0,0,0
02/05/2016 21:00:00,6829,0,0,0,0,0,0
02/05/2016 22:00:00,4583,0,0,0,0,0,0
02/05/2016 23:00:00,2739,0,0,0,0,0,0
