FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
03/06/2016 00:00:00,401758,461,0,185,276,0,0
03/06/2016 01:00:00,172450,326,0,129,197,0,0
03/06/2016 02:00:00,84217,266,0,108,158,0,0
03/06/2016 03:00:00,54257,177,0,70,107,0,0
03/06/2016 04:00:00,53755,233,0,93,140,0,0
03/06/2016 05:00:00,89765,212,0,85,127,0,0
03/06/2016 06:00:00,232958,212,0,85,127,0,0
03/06/2016 07:00:00,614583,522,0,209,313,0,0
03/06/2016 08:00:00,1324346,19537,0,7811,11726,0,0
03/06/2016 09:00:00,2437610,123679,0,49472,74207,0,0
03/06/2016 10:00:00,3147104,127175,0,50874,76301,0,0
03/06/2016 11:00:00,3647571,145717,0,58289,87428,0,0
03/06/2016 12:00:00,3649874,110909,0,44364,66545,0,0
03/06/2016 13:00:00,3010935,140192,0,69927,70265,0,0
03/06/2016 14:00:00,2305535,110669,0,55160,55509,0,0
03/06/2016 15:00:00,2161510,106391,0,42552,63839,0,0
03/06/2016 16:00:00,2604783,130742,0,52297,78445,0,0
03/06/2016 17:00:00,3256905,154490,0,77114,77376,0,0
03/06/2016 18:00:00,3633157,131474,0,52592,78882,0,0
03/06/2016 19:00:00,3463302,152342,0,60936,91406,0,0
03/06/2016 20:00:00,3022303,130721,0,52288,78433,0,0
03/06/2016 21:00:00,2153838,1559,0,623,936,0,0
03/06/2016 22:00:00,1437530,1272,0,509,763,0,0
03/06/2016 23:00:00,871161,883,0,352,531,0,0
