FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
28/04/2016 00:00:00,355586,285,0,114,171,0,0
28/04/2016 01:00:00,144259,131,0,53,78,0,0
28/04/2016 02:00:00,68584,149,0,60,89,0,0
28/04/2016 03:00:00,44203,253,0,101,152,0,0
28/04/2016 04:00:00,46533,217,0,87,130,0,0
28/04/2016 05:00:00,81622,221,0,88,133,0,0
28/04/2016 06:00:00,224645,44,0,18,26,0,0
28/04/2016 07:00:00,636409,92,0,37,55,0,0
28/04/2016 08:00:00,1382551,17970,0,5411,12559,0,0
28/04/2016 09:00:00,2455593,120227,0,36146,84081,0,0
28/04/2016 10:00:00,3103553,126312,0,38014,88298,0,0
28/04/2016 11:00:00,3529930,135083,0,40629,94454,0,0
28/04/2016 12:00:00,3500432,128033,0,38621,89412,0,0
28/04/2016 13:00:00,2845901,123523,0,37281,86242,0,0
28/04/2016 14:00:00,2185422,111465,0,33541,77924,0,0
28/04/2016 15:00:00,2082522,120660,0,36316,84344,0,0
28/04/2016 16:00:00,2467609,120658,0,36400,84258,0,0
28/04/2016 17:00:00,3003936,113297,0,34141,79156,0,0
28/04/2016 18:00:00,3332489,113117,0,34062,79055,0,0
28/04/2016 19:00:00,3266740,118564,0,35695,82869,0,0
28/04/2016 20:00:00,2763347,112225,0,33757,78468,0,0
28/04/2016 21:00:00,1921672,623,0,249,374,0,0
28/04/2016 22:00:00,1255172,436,0,174,262,0,0
28/04/2016 23:00:00,729796,334,0,134,200,0,0
