FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
28/03/2016 00:00:00,149284,0,0,0,0,0,0
28/03/2016 01:00:00,78778,0,0,0,0,0,0
28/03/2016 02:00:00,39211,0,0,0,0,0,0
28/03/2016 03:00:00,24616,0,0,0,0,0,0
28/03/2016 04:00:00,23920,0,0,0,0,0,0
28/03/2016 05:00:00,44540,0,0,0,0,0,0
28/03/2016 06:00:00,98153,0,0,0,0,0,0
28/03/2016 07:00:00,337680,0,0,0,0,0,0
28/03/2016 08:00:00,818805,6436,0,1616,4820,0,0
28/03/2016 09:00:00,1163339,43822,0,11613,32209,0,0
28/03/2016 10:00:00,1144093,33194,0,8829,24365,0,0
28/03/2016 11:00:00,1110827,29097,0,7630,21467,0,0
28/03/2016 12:00:00,1187923,34514,0,9005,25509,0,0
28/03/2016 13:00:00,1151095,41345,0,12403,28942,0,0
28/03/2016 14:00:00,1016550,46536,0,13962,32574,0,0
28/03/2016 15:00:00,1008808,48064,0,12510,35554,0,0
28/03/2016 16:00:00,1119131,44391,0,11484,32907,0,0
28/03/2016 17:00:00,1178330,40484,0,12145,28339,0,0
28/03/2016 18:00:00,1146096,33795,0,8788,25007,0,0
28/03/2016 19:00:00,1152888,29040,0,7572,21468,0,0
28/03/2016 20:00:00,1141990,31590,0,8191,23399,0,0
28/03/2016 21:00:00,970232,1,0,0,1,0,0
28/03/2016 22:00:00,647903,1,0,0,1,0,0
28/03/2016 23:00:00,370867,0,0,0,0,0,0
