FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
01/06/2016 00:00:00,388376,399,0,159,240,0,0
01/06/2016 01:00:00,149242,288,0,114,174,0,0
01/06/2016 02:00:00,70143,214,0,86,128,0,0
01/06/2016 03:00:00,45699,215,0,86,129,0,0
01/06/2016 04:00:00,44148,132,0,53,79,0,0
01/06/2016 05:00:00,80001,161,0,64,97,0,0
01/06/2016 06:00:00,225325,219,0,88,131,0,0
01/06/2016 07:00:00,622630,311,0,124,187,0,0
01/06/2016 08:00:00,1333849,17720,0,7090,10630,0,0
01/06/2016 09:00:00,2399753,142474,0,56990,85484,0,0
01/06/2016 10:00:00,3065112,157284,0,62910,94374,0,0
01/06/2016 11:00:00,3484478,162212,0,64885,97327,0,0
01/06/2016 12:00:00,3436790,148139,0,59254,88885,0,0
01/06/2016 13:00:00,2790605,156787,0,78198,78589,0,0
01/06/2016 14:00:00,2168494,158221,0,78864,79357,0,0
01/06/2016 15:00:00,2013445,147766,0,59109,88657,0,0
01/06/2016 16:00:00,2420861,163011,0,65200,97811,0,0
01/06/2016 17:00:00,2979277,163337,0,81438,81899,0,0
01/06/2016 18:00:00,3312197,157727,0,63093,94634,0,0
01/06/2016 19:00:00,3149127,157411,0,62965,94446,0,0
01/06/2016 20:00:00,2732979,173789,0,69517,104272,0,0
01/06/2016 21:00:00,1845719,1281,0,513,768,0,0
01/06/2016 22:00:00,1227016,1031,0,413,618,0,0
01/06/2016 23:00:00,707394,684,0,273,411,0,0
