FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
29/02/2016 00:00:00,56310,0,0,0,0,0,0
29/02/2016 01:00:00,29635,0,0,0,0,0,0
29/02/2016 02:00:00,19640,0,0,0,0,0,0
29/02/2016 03:00:00,13002,0,0,0,0,0,0
29/02/2016 04:00:00,10508,0,0,0,0,0,0
29/02/2016 05:00:00,16288,0,0,0,0,0,0
29/02/2016 06:00:00,33235,0,0,0,0,0,0
29/02/2016 07:00:00,119307,0,0,0,0,0,0
29/02/2016 08:00:00,312445,3543,0,755,2788,0,0
29/02/2016 09:00:00,613901,27399,0,6502,20897,0,0
29/02/2016 10:00:00,764848,40385,0,17445,22940,0,0
29/02/2016 11:00:00,770040,29085,0,9539,19546,0,0
29/02/2016 12:00:00,775779,24617,0,8744,15873,0,0
29/02/2016 13:00:00,613758,26621,0,7984,18637,0,0
29/02/2016 14:00:00,525637,29483,0,8844,20639,0,0
29/02/2016 15:00:00,507050,26695,0,14505,12190,0,0
29/02/2016 16:00:00,580575,41114,0,15086,26028,0,0
29/02/2016 17:00:00,609108,37753,0,11325,26428,0,0
29/02/2016 18:00:00,659180,41929,0,22449,19480,0,0
29/02/2016 19:00:00,684910,51404,0,24427,26977,0,0
29/02/2016 20:00:00,648761,49378,0,26359,23019,0,0
29/02/2016 21:00:00,330495,0,0,0,0,0,0
29/02/2016 22:00:00,202706,0,0,0,0,0,0
29/02/2016 23:00:00,135421,0,0,0,0,0,0
