FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
19/02/2016 00:00:00,15818,0,0,0,0,0,0
19/02/2016 01:00:00,7700,0,0,0,0,0,0
19/02/2016 02:00:00,4251,0,0,0,0,0,0
19/02/2016 03:00:00,3024,0,0,0,0,0,0
19/02/2016 04:00:00,2842,0,0,0,0,0,0
19/02/2016 05:00:00,4663,0,0,0,0,0,0
19/02/2016 06:00:00,12265,0,0,0,0,0,0
19/02/2016 07:00:00,23165,0,0,0,0,0,0
19/02/2016 08:00:00,50591,701,0,141,560,0,0
19/02/2016 09:00:00,116663,10499,0,3038,7461,0,0
19/02/2016 10:00:00,135616,6513,0,1832,4681,0,0
19/02/2016 11:00:00,156256,14497,0,3966,10531,0,0
19/02/2016 12:00:00,160253,11790,0,2866,8924,0,0
19/02/2016 13:00:00,114331,4342,0,1303,3039,0,0
19/02/2016 14:00:00,87605,4970,0,1490,3480,0,0
19/02/2016 15:00:00,77412,3232,0,784,2448,0,0
19/02/2016 16:00:00,90861,1075,0,223,852,0,0
19/02/2016 17:00:00,135217,16567,0,4970,11597,0,0
19/02/2016 18:00:00,120281,2808,0,696,2112,0,0
19/02/2016 19:00:00,128155,15303,0,4364,10939,0,0
19/02/2016 20:00:00,127865,12814,0,2948,9866,0,0
19/02/2016 21:00:00,86326,0,0,0,0,0,0
19/02/2016 22:00:00,54314,0,0,0,0,0,0
19/02/2016 23:00:00,34414,0,0,0,0,0,0
