FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
21/02/2016 00:00:00,25389,0,0,0,0,0,0
21/02/2016 01:00:00,18826,0,0,0,0,0,0
21/02/2016 02:00:00,12782,0,0,0,0,0,0
21/02/2016 03:00:00,9022,0,0,0,0,0,0
21/02/2016 04:00:00,6840,0,0,0,0,0,0
21/02/2016 05:00:00,8939,0,0,0,0,0,0
21/02/2016 06:00:00,9235,0,0,0,0,0,0
21/02/2016 07:00:00,7523,0,0,0,0,0,0
21/02/2016 08:00:00,10216,0,0,0,0,0,0
21/02/2016 09:00:00,18825,2,0,1,1,0,0
21/02/2016 10:00:00,35715,1,0,0,1,0,0
21/02/2016 11:00:00,57026,0,0,0,0,0,0
21/02/2016 12:00:00,60667,0,0,0,0,0,0
21/02/2016 13:00:00,46682,0,0,0,0,0,0
21/02/2016 14:00:00,31820,0,0,0,0,0,0
21/02/2016 15:00:00,25662,0,0,0,0,0,0
21/02/2016 16:00:00,28298,13,0,3,10,0,0
21/02/2016 17:00:00,31642,12,0,4,8,0,0
21/02/2016 18:00:00,39416,17,0,3,14,0,0
21/02/2016 19:00:00,50073,15,0,3,12,0,0
21/02/2016 20:00:00,61201,11,0,2,9,0,0
21/02/2016 21:00:00,61522,0,0,0,0,0,0
21/02/2016 22:00:00,42756,0,0,0,0,0,0
21/02/2016 23:00:00,28675,0,0,0,0,0,0
