FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
19/05/2016 00:00:00,8921,0,0,0,0,0,0
19/05/2016 01:00:00,5154,0,0,0,0,0,0
19/05/2016 02:00:00,2717,0,0,0,0,0,0
19/05/2016 03:00:00,1828,0,0,0,0,0,0
19/05/2016 04:00:00,1889,0,0,0,0,0,0
19/05/2016 05:00:00,3008,0,0,0,0,0,0
19/05/2016 06:00:00,6444,0,0,0,0,0,0
19/05/2016 07:00:00,14440,0,0,0,0,0,0
19/05/2016 08:00:00,24245,0,0,0,0,0,0
19/05/2016 09:00:00,39358,0,0,0,0,0,0
19/05/2016 10:00:00,51575,0,0,0,0,0,0
19/05/2016 11:00:00,60553,0,0,0,0,0,0
19/05/2016 12:00:00,66621,0,0,0,0,0,0
19/05/2016 13:00:00,60789,0,0,0,0,0,0
19/05/2016 14:00:00,57873,0,0,0,0,0,0
19/05/2016 15:00:00,57174,0,0,0,0,0,0
19/05/2016 16:00:00,59471,0,0,0,0,0,0
19/05/2016 17:00:00,64532,0,0,0,0,0,0
19/05/2016 18:00:00,62860,0,0,0,0,0,0
19/05/2016 19:00:00,55534,0,0,0,0,0,0
19/05/2016 20:00:00,41154,0,0,0,0,0,0
19/05/2016 21:00:00,30136,0,0,0,0,0,0
19/05/2016 22:00:00,26393,0,0,0,0,0,0
19/05/2016 23:00:00,17361,0,0,0,0,0,0
